STATUS | wrapper  | 2015/08/18 21:21:03 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2015/08/18 21:21:03 | Launching a JVM...
INFO   | jvm 1    | 2015/08/18 21:21:03 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2015/08/18 21:21:03 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2015/08/18 21:21:03 | 
INFO   | jvm 1    | 2015/08/18 21:21:04 | 2015-08-18 21:21:04.113:INFO:oejs.Server:jetty-7.6.11.v20130520
2015.08.18 21:21:06 INFO  o.s.s.p.ServerImpl  SonarQube Server / 3.7.4 / d25bc0e2a151ba7374f72ce7b1e7ee547ccb8a9f
2015.08.18 21:21:07 INFO  o.s.s.d.EmbeddedDatabase  Starting embedded database on port 9092 with url jdbc:h2:tcp://localhost:9092/sonar
2015.08.18 21:21:07 INFO  o.s.s.d.EmbeddedDatabase  Embedded database started. Data stored in: /home/zhoutengteng/Desktop/sonar-3.7.4/data
2015.08.18 21:21:07 WARN  o.s.c.p.DefaultDatabase  H2 database should be used for evaluation purpose only
2015.08.18 21:21:07 INFO  o.s.c.p.Database  Create JDBC datasource for jdbc:h2:tcp://localhost:9092/sonar
STATUS | wrapper  | 2015/08/18 21:21:09 | TERM trapped.  Shutting down.
2015.08.18 21:21:09 INFO  o.s.s.p.DefaultServerFileSystem  SonarQube home: /home/zhoutengteng/Desktop/sonar-3.7.4
2015.08.18 21:21:09 INFO  o.s.s.p.DefaultServerFileSystem  Deploy dir: /home/zhoutengteng/Desktop/sonar-3.7.4/war/sonar-server/deploy
2015.08.18 21:21:09 INFO  org.sonar.INFO  Install plugins...
2015.08.18 21:21:09 INFO  o.s.s.p.PluginDeployer  Deploy plugin Findbugs / 1.3 / 4d7d78e9340e39f53bbf202ed16d1253e6507c36
2015.08.18 21:21:09 INFO  o.s.s.p.PluginDeployer  Deploy plugin JaCoCo / 1.3 / 4d7d78e9340e39f53bbf202ed16d1253e6507c36
2015.08.18 21:21:09 INFO  o.s.s.p.PluginDeployer  Deploy plugin English Pack / 3.7.4 / d25bc0e2a151ba7374f72ce7b1e7ee547ccb8a9f
2015.08.18 21:21:09 INFO  o.s.s.p.PluginDeployer  Deploy plugin Maven Batch Plugin / 3.7.4 / d25bc0e2a151ba7374f72ce7b1e7ee547ccb8a9f
2015.08.18 21:21:09 INFO  o.s.s.p.PluginDeployer  Deploy plugin Surefire / 1.3 / 4d7d78e9340e39f53bbf202ed16d1253e6507c36
2015.08.18 21:21:09 INFO  o.s.s.p.PluginDeployer  Deploy plugin Duplications / 3.7.4 / d25bc0e2a151ba7374f72ce7b1e7ee547ccb8a9f
2015.08.18 21:21:09 INFO  o.s.s.p.PluginDeployer  Deploy plugin Checkstyle / 1.3 / 4d7d78e9340e39f53bbf202ed16d1253e6507c36
2015.08.18 21:21:09 INFO  o.s.s.p.PluginDeployer  Deploy plugin PMD / 1.3 / 4d7d78e9340e39f53bbf202ed16d1253e6507c36
2015.08.18 21:21:09 INFO  o.s.s.p.PluginDeployer  Deploy plugin Java / 1.3 / 4d7d78e9340e39f53bbf202ed16d1253e6507c36
2015.08.18 21:21:09 INFO  o.s.s.p.PluginDeployer  Deploy plugin Core / 3.7.4 / d25bc0e2a151ba7374f72ce7b1e7ee547ccb8a9f
2015.08.18 21:21:09 INFO  o.s.s.p.PluginDeployer  Deploy plugin Database Cleaner / 3.7.4 / d25bc0e2a151ba7374f72ce7b1e7ee547ccb8a9f
2015.08.18 21:21:09 INFO  o.s.s.p.PluginDeployer  Deploy plugin Squid for Java / 1.3 / 4d7d78e9340e39f53bbf202ed16d1253e6507c36
2015.08.18 21:21:09 INFO  o.s.s.p.PluginDeployer  Deploy plugin Design / 3.7.4 / d25bc0e2a151ba7374f72ce7b1e7ee547ccb8a9f
2015.08.18 21:21:09 INFO  o.s.s.p.PluginDeployer  Deploy plugin Email notifications / 3.7.4 / d25bc0e2a151ba7374f72ce7b1e7ee547ccb8a9f
2015.08.18 21:21:09 INFO  org.sonar.INFO  Install plugins done: 150 ms
2015.08.18 21:21:09 INFO  o.s.s.p.ApplicationDeployer  Deploy Ruby on Rails applications
2015.08.18 21:21:09 INFO  jruby.rack  jruby 1.6.8 (ruby-1.8.7-p357) (2012-09-18 1772b40) (OpenJDK 64-Bit Server VM 1.7.0_79) [linux-amd64-java]
2015.08.18 21:21:09 INFO  jruby.rack  using a shared (threadsafe!) runtime
STATUS | wrapper  | 2015/08/18 21:21:10 | <-- Wrapper Stopped
STATUS | wrapper  | 2015/08/18 21:21:35 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2015/08/18 21:21:36 | Launching a JVM...
INFO   | jvm 1    | 2015/08/18 21:21:36 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2015/08/18 21:21:36 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2015/08/18 21:21:36 | 
INFO   | jvm 1    | 2015/08/18 21:21:36 | 2015-08-18 21:21:36.627:INFO:oejs.Server:jetty-7.6.11.v20130520
2015.08.18 21:21:39 INFO  o.s.s.p.ServerImpl  SonarQube Server / 3.7.4 / d25bc0e2a151ba7374f72ce7b1e7ee547ccb8a9f
2015.08.18 21:21:39 INFO  o.s.s.d.EmbeddedDatabase  Starting embedded database on port 9092 with url jdbc:h2:tcp://localhost:9092/sonar
2015.08.18 21:21:39 INFO  o.s.s.d.EmbeddedDatabase  Embedded database started. Data stored in: /home/zhoutengteng/Desktop/sonar-3.7.4/data
2015.08.18 21:21:39 WARN  o.s.c.p.DefaultDatabase  H2 database should be used for evaluation purpose only
2015.08.18 21:21:39 INFO  o.s.c.p.Database  Create JDBC datasource for jdbc:h2:tcp://localhost:9092/sonar
2015.08.18 21:21:41 INFO  o.s.s.p.DefaultServerFileSystem  SonarQube home: /home/zhoutengteng/Desktop/sonar-3.7.4
2015.08.18 21:21:41 INFO  o.s.s.p.DefaultServerFileSystem  Deploy dir: /home/zhoutengteng/Desktop/sonar-3.7.4/war/sonar-server/deploy
2015.08.18 21:21:41 INFO  org.sonar.INFO  Install plugins...
2015.08.18 21:21:41 INFO  o.s.s.p.PluginDeployer  Deploy plugin Findbugs / 1.3 / 4d7d78e9340e39f53bbf202ed16d1253e6507c36
2015.08.18 21:21:41 INFO  o.s.s.p.PluginDeployer  Deploy plugin JaCoCo / 1.3 / 4d7d78e9340e39f53bbf202ed16d1253e6507c36
2015.08.18 21:21:41 INFO  o.s.s.p.PluginDeployer  Deploy plugin English Pack / 3.7.4 / d25bc0e2a151ba7374f72ce7b1e7ee547ccb8a9f
2015.08.18 21:21:41 INFO  o.s.s.p.PluginDeployer  Deploy plugin Maven Batch Plugin / 3.7.4 / d25bc0e2a151ba7374f72ce7b1e7ee547ccb8a9f
2015.08.18 21:21:41 INFO  o.s.s.p.PluginDeployer  Deploy plugin Surefire / 1.3 / 4d7d78e9340e39f53bbf202ed16d1253e6507c36
2015.08.18 21:21:41 INFO  o.s.s.p.PluginDeployer  Deploy plugin Duplications / 3.7.4 / d25bc0e2a151ba7374f72ce7b1e7ee547ccb8a9f
2015.08.18 21:21:41 INFO  o.s.s.p.PluginDeployer  Deploy plugin Checkstyle / 1.3 / 4d7d78e9340e39f53bbf202ed16d1253e6507c36
2015.08.18 21:21:41 INFO  o.s.s.p.PluginDeployer  Deploy plugin PMD / 1.3 / 4d7d78e9340e39f53bbf202ed16d1253e6507c36
